,Channel,Category,Avg. Engagement per post,Total No. of Posts
0,Aaj Tak,QUIZ,2760.0,1
1,Aaj Tak,Political,2718.4772727272725,44
2,Aaj Tak,CRIME,2565.8,5
3,Aaj Tak,Sports,2536.3333333333335,9
4,Aaj Tak,HEADLINES,2069.818181818182,33
5,Aaj Tak,RAM MANDIR,1993.0,1
6,News18 India,Sports,421.38461538461536,13
7,News18 India,Political,376.44444444444446,9
8,News18 India,TRENDING,319.7142857142857,7
9,News18 India,HEADLINES,279.6363636363636,33
10,News18 India,CRIME,279.0,10
11,Aaj Tak,VIRAL,273.0,1
12,Dainik Bhaskar,RAM MANDIR,268.0,1
13,ABP News,RAM MANDIR,241.0,1
14,News18 India,International,210.83333333333334,6
15,News18 India,VIRAL,198.16666666666666,12
16,Aaj Tak,Horoscope,186.75,8
17,News18 India,Technology,184.0,1
18,News18 India,Business,173.0,2
19,News18 India,Bollywood,168.0,1
20,ABP News,CRIME,155.0,2
21,Dainik Bhaskar,HEADLINES,141.16666666666666,36
22,Dainik Bhaskar,Horoscope,135.875,8
23,News18 India,EDUCATION,130.0,3
24,Dainik Bhaskar,Political,121.125,8
25,ABP News,VIRAL,107.53846153846153,13
26,Dainik Bhaskar,TRENDING,107.34677419354838,124
27,ABP News,HEADLINES,102.54929577464789,71
28,ABP News,Political,100.25,24
29,Dainik Bhaskar,CRIME,94.97826086956522,46
30,Dainik Bhaskar,Sports,94.2,5
31,Dainik Bhaskar,Business,92.0,1
32,ABP News,Sports,85.33333333333333,6
33,ABP News,TRENDING,84.25,4
34,Good News Today,QUIZ,82.33333333333333,3
35,Dainik Bhaskar,International,77.66666666666667,3
36,ABP News,International,76.4,5
37,ABP News,Horoscope,64.125,8
38,Good News Today,RAM MANDIR,53.0,2
39,Zee News,Business,52.0,3
40,Good News Today,Bollywood,48.875,8
41,ABP News,Business,42.0,1
42,Zee News,Political,41.875,8
43,Zee News,VIRAL,39.0,4
44,Zee News,HEADLINES,35.611111111111114,36
45,Good News Today,HEADLINES,35.55555555555556,27
46,Dainik Bhaskar,VIRAL,33.5,2
47,Good News Today,Sports,33.0,10
48,Good News Today,ENTERTAINMENT,31.2,5
49,Good News Today,VIRAL,29.5,2
50,Good News Today,Political,27.5,4
51,Zee News,International,27.0,1
52,Zee News,Bollywood,27.0,2
53,Zee News,Sports,26.5,10
54,Zee News,TRENDING,24.0,1
55,Zee News,Health,22.0,3
56,Zee News,Horoscope,16.5,2
57,Good News Today,FESTIVAL,16.0,1
58,Zee News,CRIME,15.0,1
59,India TV,Political,14.333333333333334,3
60,The Lallantop,HEADLINES,13.5,6
61,Republic Bharat,TRENDING,13.11111111111111,9
62,Republic Bharat,Political,12.317073170731707,41
63,The Lallantop,VIRAL,11.333333333333334,24
64,Republic Bharat,HEADLINES,10.19047619047619,21
65,The Lallantop,CRIME,10.0,1
66,Republic Bharat,VIRAL,9.125,16
67,The Lallantop,TRENDING,9.0,3
68,The Lallantop,Health,9.0,1
69,The Lallantop,International,8.8,5
70,The Lallantop,Political,8.375,8
71,Republic Bharat,CRIME,8.0,19
72,Good News Today,Horoscope,7.833333333333333,6
73,India TV,International,7.0,2
74,Times Now Navbharat,Political,6.769230769230769,13
75,Republic Bharat,International,6.333333333333333,3
76,TV9 Bharatvarsh,VIRAL,6.2,5
77,India TV,HEADLINES,6.176470588235294,17
78,TV9 Bharatvarsh,HEADLINES,6.0,84
79,Times Now Navbharat,HEADLINES,5.366666666666666,60
80,NDTV India,Sports,5.0,1
81,Times Now Navbharat,ELECTION,5.0,1
82,Republic Bharat,Sports,5.0,1
83,India TV,EDUCATION,4.666666666666667,3
84,TV9 Bharatvarsh,Political,4.625,16
85,Times Now Navbharat,Horoscope,4.333333333333333,3
86,India TV,Business,4.0,3
87,TV9 Bharatvarsh,CRIME,3.6,10
88,TV9 Bharatvarsh,International,3.5,2
89,Times Now Navbharat,International,3.5,2
90,Times Now Navbharat,CRIME,3.3333333333333335,3
91,India TV,VIRAL,3.3076923076923075,13
92,TV9 Bharatvarsh,Sports,3.235294117647059,17
93,TV9 Bharatvarsh,Business,3.0,5
94,TV9 Bharatvarsh,TRENDING,3.0,4
95,TV9 Bharatvarsh,QUIZ,3.0,1
96,NDTV India,HEADLINES,2.9393939393939394,33
97,Times Now Navbharat,VIRAL,2.8,5
98,TV9 Bharatvarsh,Horoscope,2.6666666666666665,3
99,NDTV India,CRIME,2.2142857142857144,28
100,India TV,CRIME,2.2,5
103,TV9 Bharatvarsh,Bollywood,2.0,4
102,India TV,Sports,2.0,2
101,TV9 Bharatvarsh,Technology,2.0,1
104,NDTV India,Political,1.9,10
105,Times Now Navbharat,Sports,1.7857142857142858,14
106,NDTV India,International,1.3333333333333333,3
107,India TV,Health,1.0,2
108,TV9 Bharatvarsh,EDUCATION,1.0,2
109,NDTV India,VIRAL,0.8095238095238095,21
110,NDTV India,TRENDING,0.7,10
111,NDTV India,FESTIVAL,0.0,1
112,NDTV India,EDUCATION,0.0,1
113,Times Now Navbharat,Business,0.0,1
114,TV9 Bharatvarsh,OLYMPICS,0.0,1
115,Times Now Navbharat,EDUCATION,0.0,2
